EmpID,FirstName,LastName,StartDate,ExitDate,Title,Supervisor,ADEmail,BusinessUnit,EmployeeStatus,EmployeeType,PayZone,EmployeeClassificationType,TerminationType,TerminationDescription,DepartmentType,Division,DOB,State,JobFunctionDescription,GenderCode,LocationCode,RaceDesc,MaritalDesc,Performance Score,Current Employee Rating,Performancance lvel
3714,Aleena,Mercer,19-Jan-20,,Production Technician I,Kyle Turner,aleena.mercer@bilearner.com,CCDR,Active,Full-Time,Zone B,Part-Time,Unk,,Production       ,Field Operations,19-04-1965,MA,Laborer,Male,93985,White,Married,Fully Meets,4,high
3715,Jake,White,12-Sep-21,,Production Technician I,Dawn Mendoza,jake.white@bilearner.com,BPC,Active,Contract,Zone A,Full-Time,Unk,,Production       ,Project Management - Con,05-03-1976,MA,Coordinator,Male,27233,Black,Widowed,Fully Meets,4,high
3716,Chaim,Chase,31-Jul-22,18-Feb-23,Production Technician II,David Goodman,chaim.chase@bilearner.com,SVG,Voluntarily Terminated,Full-Time,Zone A,Full-Time,Voluntary,Walk call activity onto seven about.,Production       ,General - Con,27-06-1993,MA,Laborer,Female,5569,Black,Married,Fully Meets,1,low
3717,Keshawn,Le,18-May-23,,Production Technician II,Samuel Turner,keshawn.le@bilearner.com,EW,Active,Contract,Zone B,Full-Time,Unk,,Production       ,Field Operations,07-11-1992,MA,Specialist,Female,21090,Asian,Married,Fully Meets,2,low
3718,Dalton,Frazier,25-May-21,22-Oct-21,Production Technician II,Claudia White,dalton.frazier@bilearner.com,MSC,Voluntarily Terminated,Contract,Zone C,Temporary,Voluntary,Save east phone arrive floor maybe.,Production       ,Field Operations,15-09-1946,MA,Driver,Female,52357,Other,Married,Fully Meets,4,high
3719,Cannon,Hester,22-Jul-22,,Production Technician II,David Ward,cannon.hester@bilearner.com,TNS,Active,Contract,Zone B,Full-Time,Unk,,Production       ,Underground,08-07-1947,MA,Laborer,Female,47989,Hispanic,Divorced,Fully Meets,3,medium
3720,Crystal,Brandt,23-May-19,12-Sep-20,Production Technician II,Andrew Schneider,crystal.brandt@bilearner.com,PYZ,Active,Part-Time,Zone B,Full-Time,Resignation,Young risk quality natural foreign claim.,Production       ,Field Operations,18-12-1958,MA,Laborer,Female,31486,White,Single,Fully Meets,3,medium
3721,Johnny,Goodman,12-Feb-20,07-Apr-20,Production Technician I,Loretta Gonzalez,johnny.goodman@bilearner.com,NEL,Active,Full-Time,Zone B,Full-Time,Resignation,Recent agent choose dark hard eye.,Production       ,Fielders,24-03-1960,MA,Engineer,Male,24794,Black,Widowed,Fully Meets,2,low
3722,Nehemiah,Hancock,16-Feb-20,09-Jan-22,Production Technician I,Alice Key,nehemiah.hancock@bilearner.com,PL,Voluntarily Terminated,Part-Time,Zone B,Full-Time,Involuntary,Fast glass machine compare after check.,Production       ,Field Operations,31-08-1947,MA,Laborer,Male,80316,White,Married,Fully Meets,2,low
3723,Elliana,Villanueva,29-Apr-22,16-Jul-22,Production Technician I,Ryan Downs,elliana.villanueva@bilearner.com,BPC,Voluntarily Terminated,Full-Time,Zone A,Temporary,Retirement,Everyone chair white situation result.,Production       ,Wireline Construction,30-08-1972,MA,Laborer,Male,46742,Asian,Married,Fully Meets,3,medium
3724,Essence,Schwartz,10-Oct-19,30-Oct-21,Production Technician I,Alyssa Johnson,essence.schwartz@bilearner.com,CCDR,Voluntarily Terminated,Part-Time,Zone C,Temporary,Retirement,Board star job song. Hundred believe heavy.,Production       ,Field Operations,25-11-1969,MA,Laborer,Male,30194,Asian,Divorced,Fully Meets,4,high
3725,Ryker,Cox,07-Apr-19,09-Jul-23,Production Technician I,Stephanie Patterson,ryker.cox@bilearner.com,SVG,Active,Contract,Zone B,Part-Time,Voluntary,Child write help growth home.,Production       ,Aerial,21-08-1955,MA,Lineman,Male,36808,Asian,Widowed,Fully Meets,1,low
3726,Averi,Stevenson,13-Jul-20,18-Sep-21,Production Technician I,Sandra Richardson,averi.stevenson@bilearner.com,EW,Active,Contract,Zone A,Full-Time,Voluntary,Great like sea behind stock drop debate such.,Production       ,General - Con,25-07-1995,MA,Lineman,Female,36688,Other,Married,Fully Meets,4,high
3727,Katherine,Russo,26-Aug-21,,Production Technician I,Courtney Garcia,katherine.russo@bilearner.com,MSC,Active,Part-Time,Zone C,Temporary,Unk,,Production       ,Field Operations,15-01-1945,MA,Supervisor,Female,37883,Other,Divorced,Fully Meets,3,medium
3728,Aydan,Robbins,23-Dec-21,,Production Technician I,Tamara Grant,aydan.robbins@bilearner.com,TNS,Active,Contract,Zone A,Part-Time,Unk,,Production       ,Splicing,07-02-1967,MA,Laborer,Male,39843,Hispanic,Divorced,Fully Meets,5,very high
3729,Heaven,Walls,08-Dec-22,04-Jul-23,Production Technician I,Natasha Spears,heaven.walls@bilearner.com,BPC,Active,Contract,Zone B,Part-Time,Voluntary,Until reason late off training situation.,Production       ,Wireline Construction,01-01-1943,MA,Supervisor,Male,69873,Other,Divorced,Fully Meets,3,medium
3730,Bobby,Chung,18-Jan-22,,Production Technician I,Sharon Vincent,bobby.chung@bilearner.com,CCDR,Active,Contract,Zone B,Temporary,Unk,,Production       ,Fielders,08-12-1965,MA,Engineer,Male,2548,Black,Widowed,Fully Meets,4,high
3731,Maximus,Fields,28-Feb-20,14-Dec-22,Production Technician I,Kimberly Phelps,maximus.fields@bilearner.com,EW,Active,Part-Time,Zone B,Part-Time,Retirement,Along black change charge particular conference.,Production       ,Field Operations,04-07-1998,MA,Engineer,Male,73555,Hispanic,Single,Fully Meets,3,medium
3732,Orion,Ochoa,31-May-20,,Production Technician I,Charles Hoover,orion.ochoa@bilearner.com,MSC,Active,Part-Time,Zone B,Part-Time,Unk,,Production       ,Field Operations,03-07-1954,MA,Technician,Male,27650,Black,Widowed,Fully Meets,5,very high
3733,Halle,Boyd,20-Apr-20,23-Jul-22,Production Technician I,Deborah Stevens,halle.boyd@bilearner.com,NEL,Future Start,Contract,Zone C,Part-Time,Retirement,Half glass sport. Oil arm middle play lose such.,Production       ,Field Operations,15-10-1994,MA,Driver,Female,2035,Hispanic,Single,Fully Meets,3,medium
3734,Lindsey,Rocha,07-Mar-19,,Production Technician I,Melissa Alvarez,lindsey.rocha@bilearner.com,PL,Active,Full-Time,Zone C,Temporary,Unk,,Production       ,Technology / It,21-07-1964,MA,Engineer,Male,74284,White,Divorced,Fully Meets,3,medium
3735,Chace,Gray,29-May-19,,Production Technician I,Joel Nichols,chace.gray@bilearner.com,PYZ,Active,Contract,Zone C,Temporary,Unk,,Production       ,Wireless,11-07-1963,MA,Project Manager,Male,81455,White,Married,Fully Meets,1,low
3736,Carsen,Wheeler,18-Oct-20,22-Mar-23,Production Technician I,Kimberly Soto,carsen.wheeler@bilearner.com,SVG,Active,Full-Time,Zone A,Part-Time,Resignation,Democrat home space past sense serious.,Production       ,Wireline Construction,02-07-1976,MA,Laborer,Male,95345,Other,Married,Fully Meets,2,low
3737,Arielle,Escobar,19-Nov-18,,Production Technician I,John Hill,arielle.escobar@bilearner.com,TNS,Active,Part-Time,Zone B,Part-Time,Unk,,Production       ,People Services,11-12-1946,MA,Director,Male,67176,Hispanic,Divorced,Fully Meets,5,very high
3738,Kaitlynn,Blair,15-Apr-22,09-Jan-23,Production Technician II,Steven Carter,kaitlynn.blair@bilearner.com,SVG,Voluntarily Terminated,Full-Time,Zone A,Temporary,Involuntary,Partner perhaps they rock.,Production       ,General - Con,03-09-2000,MA,Lineman,Female,21015,Hispanic,Widowed,Fully Meets,3,medium
3739,Amir,Melendez,24-Aug-18,22-Mar-21,Production Technician II,Rachel Pham,amir.melendez@bilearner.com,EW,Voluntarily Terminated,Full-Time,Zone B,Temporary,Voluntary,Themselves specific seem want seek hospital.,Production       ,Field Operations,09-03-1951,MA,Tower Hand,Female,80870,Asian,Divorced,Fully Meets,3,medium
3740,Monique,Buckley,15-Oct-22,17-Feb-23,Production Technician II,Christopher Cunningham,monique.buckley@bilearner.com,MSC,Voluntarily Terminated,Full-Time,Zone C,Part-Time,Voluntary,Final like human late job.,Production       ,People Services,24-05-2001,MA,Intern,Female,12265,Other,Single,Fully Meets,4,high
3741,Clark,Blanchard,27-Feb-23,28-Mar-23,Production Technician II,Brittany Marshall,clark.blanchard@bilearner.com,TNS,Voluntarily Terminated,Full-Time,Zone A,Temporary,Voluntary,Board industry once tough investment age.,Production       ,Field Operations,14-09-1948,MA,Engineer,Female,47025,Hispanic,Widowed,Fully Meets,1,low
3742,Gabriel,Pearson,22-Sep-21,15-May-23,Production Technician II,Ryan Anderson,gabriel.pearson@bilearner.com,PYZ,Active,Contract,Zone A,Temporary,Resignation,Wait small thing staff.,Production       ,Field Operations,12-09-1981,MA,Manager,Female,81011,Asian,Married,Fully Meets,2,low
3743,Mercedes,Cook,30-May-20,,Production Technician I,Stephanie Valdez,mercedes.cook@bilearner.com,WBL,Active,Contract,Zone A,Part-Time,Unk,,Production       ,General - Con,13-09-1950,MA,Locator,Male,13394,Black,Married,Fully Meets,2,low
3744,Skyler,Blankenship,11-Sep-20,,Production Technician I,Christopher Garcia,skyler.blankenship@bilearner.com,NEL,Active,Part-Time,Zone B,Full-Time,Unk,,Production       ,Aerial,22-12-1964,MA,Lineman,Female,50967,Asian,Widowed,Fully Meets,5,very high
3745,Jordan,Davis,31-May-19,06-Oct-20,Production Technician I,Sarah Cross,jordan.davis@bilearner.com,PL,Voluntarily Terminated,Full-Time,Zone C,Full-Time,Involuntary,So give cause soldier.,Production       ,General - Con,20-07-1978,MA,Technician,Male,8286,Asian,Single,Fully Meets,4,high
3746,Bridget,Wu,13-Jul-20,,Production Technician I,Judy Lambert,bridget.wu@bilearner.com,BPC,Active,Part-Time,Zone B,Full-Time,Unk,,Production       ,Shop (Fleet),21-08-1969,MA,Mechanic,Male,68039,Black,Widowed,Fully Meets,3,medium
3747,Gabriel,Kirk,09-Sep-21,10-Feb-23,Production Technician I,Chelsea Bright,gabriel.kirk@bilearner.com,CCDR,Voluntarily Terminated,Part-Time,Zone C,Temporary,Retirement,Soon glass reveal Republican could.,Production       ,Technology / It,17-02-1944,MA,Technician,Male,56563,Black,Widowed,Fully Meets,2,low
3748,Aron,Ali,06-Apr-19,,Production Technician I,Shawn Mckay,aron.ali@bilearner.com,SVG,Active,Full-Time,Zone C,Part-Time,Unk,,Production       ,General - Con,20-08-1969,MA,Laborer,Male,96739,Other,Married,Fully Meets,1,low
3749,Kayden,Soto,16-Feb-21,,Production Technician I,Samantha Pugh,kayden.soto@bilearner.com,EW,Active,Full-Time,Zone A,Full-Time,Unk,,Production       ,Project Management - Eng,02-05-1985,MA,Planner,Female,27488,Other,Married,Fully Meets,4,high
3750,Micaela,Conner,17-Feb-20,,Production Technician I,Sheryl Curtis,micaela.conner@bilearner.com,MSC,Active,Full-Time,Zone C,Part-Time,Unk,,Production       ,Engineers,16-02-1955,MA,Engineer,Male,49299,Black,Single,Fully Meets,1,low
3751,Arthur,Mitchell,15-Oct-21,,Production Technician I,Eric Knight,arthur.mitchell@bilearner.com,TNS,Active,Contract,Zone A,Full-Time,Unk,,Production       ,Aerial,24-12-1972,MA,Model Assistant,Male,32547,Other,Single,Fully Meets,3,medium
3752,Deven,Morse,06-Jul-22,,Production Technician I,Morgan Ross,deven.morse@bilearner.com,PYZ,Active,Full-Time,Zone A,Temporary,Unk,,Production       ,Engineers,12-10-1954,MA,Engineer,Male,11664,White,Divorced,Fully Meets,2,low
3753,George,Villegas,05-Mar-19,10-Dec-20,Production Technician I,Laura Mcpherson,george.villegas@bilearner.com,WBL,Active,Part-Time,Zone B,Part-Time,Involuntary,Truth resource more week hope generation.,Production       ,Project Management - Eng,29-09-1959,MA,Planner,Male,37926,White,Single,Fully Meets,4,high
3754,Arielle,Potts,02-Jun-20,25-Jan-22,Production Technician I,Sarah Morgan,arielle.potts@bilearner.com,NEL,Active,Full-Time,Zone C,Full-Time,Voluntary,Stage necessary although they.,Production       ,Project Management - Con,31-05-1978,MA,Engineer,Male,76770,Black,Married,Fully Meets,1,low
3755,Maxwell,Howell,26-Nov-20,17-Feb-23,Production Technician I,Emily Church,maxwell.howell@bilearner.com,PL,Future Start,Full-Time,Zone C,Full-Time,Resignation,Scientist heart others employee church century.,Production       ,Executive,21-04-2001,MA,Manager,Female,72484,Black,Married,Fully Meets,4,high
3756,Junior,Bridges,24-May-21,,Production Technician I,Melissa Hernandez,junior.bridges@bilearner.com,BPC,Active,Full-Time,Zone A,Temporary,Unk,,Production       ,Field Operations,01-06-1944,MA,Driller,Female,13669,Hispanic,Married,Fully Meets,3,medium
3757,Salvatore,Noble,17-Oct-22,26-Mar-23,Production Technician I,Debra Yang,salvatore.noble@bilearner.com,CCDR,Future Start,Full-Time,Zone B,Part-Time,Involuntary,Marriage sound myself others well morning wrong.,Production       ,Aerial,28-10-1993,MA,Lineman,Male,7481,Asian,Single,Fully Meets,2,low
3758,Heath,Hodges,16-Nov-22,24-Jun-23,Production Technician I,Alejandro Palmer,heath.hodges@bilearner.com,SVG,Voluntarily Terminated,Contract,Zone A,Temporary,Retirement,Lawyer miss meet across agent.,Production       ,Engineers,20-12-1946,MA,Engineer,Male,76897,Other,Divorced,Fully Meets,3,medium
3759,Gabriella,Warner,01-May-22,25-Sep-22,Production Technician I,Emily Pugh,gabriella.warner@bilearner.com,EW,Active,Contract,Zone B,Full-Time,Retirement,Authority different including gun production.,Production       ,Yard (Material Handling),21-10-1958,MA,Laborer,Male,47326,Black,Married,Fully Meets,1,low
3760,Ryan,Tate,24-Aug-21,,Production Technician I,Sherry Morris,ryan.tate@bilearner.com,MSC,Active,Full-Time,Zone A,Part-Time,Unk,,Production       ,General - Con,12-02-1960,MA,Technician,Male,20814,Other,Widowed,Fully Meets,3,medium
3761,Hazel,Vincent,22-Jun-23,10-Jul-23,Production Technician II,Melissa Conrad,hazel.vincent@bilearner.com,CCDR,Active,Contract,Zone A,Full-Time,Involuntary,Item born upon blue.,Production       ,General - Sga,23-11-1987,MA,Assistant,Female,75880,Black,Married,Fully Meets,1,low
3762,Gavyn,Riggs,18-Jul-20,,Production Technician II,Lauren Villarreal,gavyn.riggs@bilearner.com,SVG,Active,Part-Time,Zone B,Temporary,Unk,,Production       ,Engineers,11-05-1949,MA,Engineer,Female,65366,Black,Divorced,Fully Meets,2,low
3763,Giancarlo,Cross,12-Jan-23,06-Feb-23,Production Technician II,Randall Williams,giancarlo.cross@bilearner.com,EW,Voluntarily Terminated,Full-Time,Zone B,Full-Time,Involuntary,They four last represent spend bit.,Production       ,Finance & Accounting,25-06-1950,MA,Clerk,Female,40231,White,Widowed,Fully Meets,3,medium
3764,Cristal,Bradshaw,16-Feb-22,,Production Technician II,Tiffany Stone,cristal.bradshaw@bilearner.com,MSC,Active,Full-Time,Zone B,Temporary,Unk,,Production       ,General - Sga,13-12-1995,MA,Manager,Female,41487,Black,Single,Fully Meets,3,medium
3765,Guadalupe,Burke,02-Sep-22,,Production Technician II,Eric Smith,guadalupe.burke@bilearner.com,TNS,Active,Part-Time,Zone A,Temporary,Unk,,Production       ,Yard (Material Handling),30-06-1969,MA,Runner,Female,36904,Hispanic,Widowed,Fully Meets,3,medium
3766,Elisa,Henry,02-Feb-19,03-Feb-23,Production Technician II,Taylor Morris,elisa.henry@bilearner.com,PYZ,Active,Part-Time,Zone A,Part-Time,Resignation,Common no sure wonder up although.,Production       ,Yard (Material Handling),10-03-1943,MA,Manager,Female,10110,Black,Widowed,Fully Meets,3,medium
3767,Kale,Fischer,26-Aug-21,05-Sep-22,Production Technician I,Zachary Nelson,kale.fischer@bilearner.com,TNS,Voluntarily Terminated,Full-Time,Zone B,Part-Time,Retirement,Actually on Democrat down live base should.,Production       ,General - Con,07-03-1993,MA,Laborer,Female,46087,Black,Divorced,Fully Meets,2,low
3768,Morgan,Blackwell,31-Dec-20,,Production Technician I,David Garcia,morgan.blackwell@bilearner.com,SVG,Active,Contract,Zone B,Full-Time,Unk,,Production       ,Catv,30-05-1991,MA,Foreman,Female,37838,Black,Divorced,Fully Meets,4,high
3769,Ivan,Wright,12-Dec-20,,Production Technician I,Laura Chavez,ivan.wright@bilearner.com,PYZ,Active,Full-Time,Zone A,Full-Time,Unk,,Production       ,Fielders,21-11-1952,MA,Engineer,Male,15968,Asian,Married,Fully Meets,3,medium
3770,Nayeli,Hood,13-Jan-22,11-Apr-23,Production Technician I,Rachel Jones,nayeli.hood@bilearner.com,PL,Voluntarily Terminated,Contract,Zone B,Temporary,Involuntary,Land physical tax.,Production       ,Aerial,26-01-1995,MA,Lineman,Male,21100,Asian,Married,Fully Meets,3,medium
3771,Marilyn,Smith,24-Jan-21,07-May-23,Production Technician I,Kathryn Jones,marilyn.smith@bilearner.com,NEL,Voluntarily Terminated,Part-Time,Zone B,Temporary,Retirement,Catch issue water night recognize mention.,Production       ,General - Con,20-09-1981,MA,Foreman,Male,65845,Asian,Married,Fully Meets,3,medium
3772,Zoie,Rowland,08-Feb-22,22-Jul-22,Production Technician I,Mrs. Rachel Henry,zoie.rowland@bilearner.com,MSC,Active,Full-Time,Zone A,Temporary,Retirement,Side most force better region operation language.,Production       ,Engineers,05-02-1966,MA,Engineer,Female,58535,Asian,Divorced,Fully Meets,3,medium
3773,Ann,Nguyen,11-Oct-20,26-Feb-22,Production Technician I,Laura Hernandez,ann.nguyen@bilearner.com,EW,Voluntarily Terminated,Part-Time,Zone A,Temporary,Retirement,Building possible too process do.,Production       ,Engineers,16-05-1972,MA,Engineer,Female,3994,Hispanic,Divorced,Fully Meets,3,medium
3774,Ramiro,Savage,20-Jun-19,13-Oct-21,Production Technician I,Justin Stanley,ramiro.savage@bilearner.com,CCDR,Active,Part-Time,Zone B,Full-Time,Involuntary,Success realize political move adult new.,Production       ,Engineers,06-04-1998,MA,Engineer,Male,32544,Black,Single,Fully Meets,3,medium
3775,Karma,Koch,13-Jul-21,26-Nov-22,Production Technician I,Amy Ross,karma.koch@bilearner.com,BPC,Active,Contract,Zone B,Part-Time,Resignation,Agency picture enjoy pattern since and piece.,Production       ,Field Operations,15-10-1980,MA,Laborer,Male,36153,Other,Widowed,Fully Meets,3,medium
3776,Jacqueline,Hendrix,14-Oct-21,30-Oct-21,Production Technician I,Benjamin Yates,jacqueline.hendrix@bilearner.com,WBL,Active,Contract,Zone A,Full-Time,Resignation,Goal someone serious myself way probably.,Production       ,General - Eng,28-04-1980,MA,Administrative,Male,34262,Black,Married,Fully Meets,3,medium
3777,Kaitlin,Barker,09-Nov-21,,Production Technician I,Penny Estrada,kaitlin.barker@bilearner.com,TNS,Active,Contract,Zone C,Temporary,Unk,,Production       ,Aerial,21-03-1966,MA,Lineman,Male,12906,Black,Single,Fully Meets,3,medium
3778,Semaj,Griffith,02-Apr-23,27-Jul-23,Production Technician I,Frank Freeman,semaj.griffith@bilearner.com,SVG,Active,Full-Time,Zone A,Full-Time,Involuntary,Similar computer less four.,Production       ,Wireline Construction,09-02-1992,MA,Groundman,Male,30753,Other,Married,Fully Meets,3,medium
3779,Damian,Burke,19-Oct-22,03-May-23,Production Technician I,Regina Bryant MD,damian.burke@bilearner.com,PYZ,Future Start,Part-Time,Zone B,Temporary,Voluntary,About allow court us.,Production       ,Shop (Fleet),28-04-1963,MA,Technician,Female,60533,Other,Divorced,Fully Meets,3,medium
3780,Jessie,Smith,09-May-20,14-Sep-21,Production Technician I,Samantha Roberts,jessie.smith@bilearner.com,PL,Future Start,Part-Time,Zone C,Part-Time,Retirement,Everything look could economy PM fast.,Production       ,General - Con,16-11-1945,MA,Technician,Female,36882,Black,Widowed,Fully Meets,3,medium
3781,Hezekiah,Cummings,18-Aug-19,05-May-22,Production Technician I,Daniel Peterson,hezekiah.cummings@bilearner.com,NEL,Future Start,Contract,Zone B,Full-Time,Involuntary,Hot stay response fly himself accept.,Production       ,General - Con,23-01-1960,MA,Laborer,Male,62493,Black,Single,Fully Meets,3,medium
3782,Brody,House,09-Mar-19,02-May-20,Production Technician I,Dr. Matthew Harrell,brody.house@bilearner.com,MSC,Voluntarily Terminated,Full-Time,Zone B,Temporary,Retirement,Blood people direction all item.,Production       ,Field Operations,25-09-1984,MA,Driver,Male,92706,Asian,Widowed,Fully Meets,3,medium
3783,Aaliyah,Watts,09-May-20,,Production Technician I,Jared Whitehead,aaliyah.watts@bilearner.com,EW,Active,Contract,Zone A,Full-Time,Unk,,Production       ,Fielders,11-04-1962,MA,Engineer,Male,7773,Asian,Divorced,Fully Meets,3,medium
3784,Ashton,Larsen,14-Aug-22,,Production Technician I,William Price,ashton.larsen@bilearner.com,CCDR,Active,Contract,Zone A,Temporary,Unk,,Production       ,Splicing,14-03-1998,MA,Supervisor,Female,55514,White,Single,Fully Meets,3,medium
3785,Joshua,Gibson,18-Jan-22,,Production Technician II,Sheri Jackson,joshua.gibson@bilearner.com,PL,Active,Contract,Zone C,Temporary,Unk,,Production       ,Project Management - Con,20-10-1977,MA,Director,Female,13406,Black,Divorced,Fully Meets,3,medium
3786,Kyleigh,Bauer,22-Jun-21,26-Jul-22,Production Technician II,Paul Richards,kyleigh.bauer@bilearner.com,PYZ,Voluntarily Terminated,Full-Time,Zone A,Part-Time,Resignation,Cost high must body defense population.,Production       ,Field Operations,10-06-1962,MA,Technician,Female,65379,Black,Divorced,Fully Meets,3,medium
3787,Ramon,Schultz,19-Jan-23,20-Jun-23,Production Technician II,Alexis Gutierrez,ramon.schultz@bilearner.com,SVG,Voluntarily Terminated,Full-Time,Zone C,Part-Time,Resignation,Peace anything sign third.,Production       ,General - Sga,29-08-1972,MA,Supervisor,Female,69445,White,Widowed,Fully Meets,3,medium
3788,Maxim,Houston,17-May-23,13-Jun-23,Production Technician II,Michael Mcclure,maxim.houston@bilearner.com,TNS,Voluntarily Terminated,Part-Time,Zone A,Full-Time,Involuntary,In read day your stay she.,Production       ,Field Operations,06-09-1976,MA,Foreman,Female,32440,Black,Married,Fully Meets,3,medium
3789,Deanna,Sellers,07-Jun-20,,Production Technician II,Randall Frey,deanna.sellers@bilearner.com,WBL,Active,Contract,Zone A,Part-Time,Unk,,Production       ,Wireline Construction,25-05-1977,MA,Foreman,Female,30804,Other,Widowed,Fully Meets,3,medium
3790,Frankie,Figueroa,07-Jul-23,11-Jul-23,Production Technician II,Matthew Le,frankie.figueroa@bilearner.com,PYZ,Active,Full-Time,Zone A,Temporary,Resignation,Simply Mrs moment seven feel time.,Production       ,Yard (Material Handling),11-12-1962,MA,Laborer,Female,17247,Hispanic,Single,Fully Meets,3,medium
3791,Bentley,Rush,28-Mar-20,,Production Technician I,Ashley Petty,bentley.rush@bilearner.com,WBL,Active,Full-Time,Zone B,Full-Time,Unk,,Production       ,Finance & Accounting,02-02-1978,MA,Administration,Female,32417,Asian,Divorced,Fully Meets,3,medium
3792,Alexia,Pham,23-May-19,10-May-22,Production Technician I,Angela Shaffer,alexia.pham@bilearner.com,NEL,Active,Part-Time,Zone C,Full-Time,Retirement,Analysis listen here fight.,Production       ,Engineers,08-06-1998,MA,Engineer,Male,50738,White,Married,Fully Meets,3,medium
3793,Roselyn,Roberts,20-Apr-19,,Production Technician I,Steven Walton,roselyn.roberts@bilearner.com,PL,Active,Full-Time,Zone B,Full-Time,Unk,,Production       ,General - Con,15-01-1952,MA,Manager,Male,34278,Asian,Married,Fully Meets,3,medium
3794,Ayden,Chambers,09-Sep-18,,Production Technician I,Abigail Robinson,ayden.chambers@bilearner.com,BPC,Active,Contract,Zone A,Full-Time,Unk,,Production       ,General - Con,20-01-1996,MA,Foreman,Male,40836,Asian,Widowed,Fully Meets,5,very high
3795,Kaitlynn,Serrano,14-Jul-22,,Production Technician I,Brandi Howell,kaitlynn.serrano@bilearner.com,CCDR,Active,Part-Time,Zone A,Part-Time,Unk,,Production       ,General - Sga,01-08-1989,MA,Manager,Male,59081,White,Divorced,Exceeds,3,medium
3796,Jefferson,White,17-Apr-19,02-Dec-21,Production Technician I,Connie Blackburn,jefferson.white@bilearner.com,SVG,Active,Contract,Zone A,Part-Time,Resignation,Better above culture throughout life me.,Production       ,General - Con,27-08-1964,MA,Laborer,Female,82019,Hispanic,Married,Exceeds,3,medium
3797,Maria,Grant,15-May-20,,Production Technician I,Connie Martinez,maria.grant@bilearner.com,EW,Active,Contract,Zone A,Full-Time,Unk,,Production       ,Catv,26-06-1975,MA,Splicer,Female,32969,Black,Married,Fully Meets,3,medium
